영양소,상호작용_유형,상대,상대_정규화,상대_분류,맥락,섹션경로,statement,문헌번호,문헌_확보율,문헌정보,PubMed,출처URL,수집시각
chromium,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"Little is known about drug interactions with chromium in humans. Large doses of calcium carbonate or magnesium hydroxide-containing antacids decreased chromium absorption in rats. In contrast, non-steroidal anti-inflammatory drugs, aspirin and indomethacin, can increase chromium absorption in rats (7).",7,1/1,"Stoecker B. Chromium. In: Shils M, Shike M, Ross A, Caballero B, Cousins R, eds. Modern Nutrition in Health and Disease. Philadelphia: Lippincott, Williams & Wilkins; 2006:332-337.",,https://lpi.oregonstate.edu/mic/minerals/chromium,2026-08-10T04:48:05+00:00
copper,영양소-영양소,Iron,Iron,미량영양소,Nutrient interactions,Function > Nutrient interactions > Iron,"Adequate copper nutritional status is necessary for normal iron metabolism and red blood cell production and function. Copper depletion results in an iron deficiency-like anemia, and iron accumulates in the livers of copper-deficient animals. The development of anemia during copper deficiency may be linked to low CP activity, impaired iron release from stores in the liver, and reduced iron delivery to the erythroid marrow, thus leading to iron-restricted erythropoiesis (see Iron metabolism) (2). However, this may not be the whole story, as was recently suggested by longtime copper researcher, Dr. Joseph R. Prohaska (Univ. of Minnesota, Duluth) (22). Copper depletion also reduces CP activity in humans, leading to hepatic iron overload and thus increasing risk for oxidative damage and liver cirrhosis (14). Oral copper supplementation restored normal serum CP levels and plasma ferroxidase activity, and corrected iron metabolism defects in a copper-deficient subject (23). Moreover, infants fed a formula with a high-iron content absorbed less copper than infants fed a low-iron formulation, suggesting that high iron intakes may interfere with copper absorption in infants (24). This observation was also confirmed in rats and mice, where high dietary iron caused copper depletion, thus increasing the copper nutritional requirement (25, 26).",2;14;22;23;24;25;26,7/7,"Turnlund JR. Copper. In: Shils ME, Shike M, Ross A, Caballero B, Cousins RA, eds. Modern Nutrition in Health and Disease. 10th ed. Baltimore: Lipincott Williams & Wilkins; 2006:289-299. | Thackeray EW, Sanderson SO, Fox JC, Kumar N. Hepatic iron overload or cirrhosis may occur in acquired copper deficiency and is likely mediated by hypoceruloplasminemia. J Clin Gastroenterol. 2011;45(2):153-158. (PubMed) | Prohaska JR. Reflections of a cupromaniac. Metallomics. 2016;8(9):813-815. (PubMed) | Videt-Gibou D, Belliard S, Bardou-Jacquet E, et al. Iron excess treatable by copper supplementation in acquired aceruloplasminemia: a new form of secondary human iron overload? Blood. 2009;114(11):2360-2361. (PubMed) | Food and Nutrition Board, Institute of Medicine. Copper. Dietary reference intakes for vitamin A, vitamin K, boron, chromium, copper, iodine, iron, manganese, molybdenum, nickel, silicon, vanadium, and zinc. Washington D.C.: National Academy Press; 2001:224-257. (National Academy Press) | Ha JH, Doguer C, Collins JF. Consumption of a high-iron diet disrupts homeostatic regulation of intestinal copper absorption in adolescent mice. Am J Physiol Gastrointest Liver Physiol. 2017;313(4):G535-G360. (PubMed) | Ha JH, Doguer C, Wang X, Flores SR, Collins JF. High-iron consumption impairs growth and causes copper-deficiency anemia in weanling Sprague-Dawley rats. PLoS One. 2016;11(8):e0161033. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/20502350;https://www.ncbi.nlm.nih.gov/pubmed/27399272;https://pubmed.ncbi.nlm.nih.gov/19745082/;https://www.ncbi.nlm.nih.gov/pubmed/28619730;https://www.ncbi.nlm.nih.gov/pubmed/27537180,https://lpi.oregonstate.edu/mic/minerals/copper,2026-08-10T04:48:07+00:00
copper,영양소-영양소,Zinc,Zinc,미량영양소,Nutrient interactions,Function > Nutrient interactions > Zinc,"Excess intake of supplemental zinc, at doses of 50 mg/day or more for extended periods of time, may result in copper depletion. The mechanism may relate to increased synthesis of metallothionein (MT), an intracellular zinc- and copper-binding protein. MT has a stronger affinity for copper than zinc, so high levels of MT induced by excess zinc may trap copper within enterocytes thus limiting its bioavailability. This postulate, however, was called into question by studies done in MT-deficient mice, in which high enteral zinc still decreased copper absorption, suggesting that high zinc may block a copper transporter (27). Conversely, elevated copper intakes have not been found to affect zinc nutritional status (2, 24). Moreover, zinc supplementation at 10 mg/day for eight weeks restored normal plasma copper/zinc ratios in 65 subjects on long-term hemodialysis who initially exhibited low serum zinc and high copper. Whether improving zinc and copper status of hemodialysis patients can impact clinical outcomes, however, needs to be assessed (28).",2;24;27;28,4/4,"Turnlund JR. Copper. In: Shils ME, Shike M, Ross A, Caballero B, Cousins RA, eds. Modern Nutrition in Health and Disease. 10th ed. Baltimore: Lipincott Williams & Wilkins; 2006:289-299. | Food and Nutrition Board, Institute of Medicine. Copper. Dietary reference intakes for vitamin A, vitamin K, boron, chromium, copper, iodine, iron, manganese, molybdenum, nickel, silicon, vanadium, and zinc. Washington D.C.: National Academy Press; 2001:224-257. (National Academy Press) | Reeves PG. Copper metabolism in metallothionein-null mice fed a high-zinc diet. J Nutr Biochem. 1998(10):598-601. | Guo CH, Wang CL. Effects of zinc supplementation on plasma copper/zinc ratios, oxidative stress, and immunological status in hemodialysis patients. Int J Med Sci. 2013;10(1):79-89. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/23289009,https://lpi.oregonstate.edu/mic/minerals/copper,2026-08-10T04:48:07+00:00
copper,영양소-영양소,Fructose,Fructose,다량영양소,Nutrient interactions,Function > Nutrient interactions > Fructose,"Evidence of copper- fructose interactions comes mainly from studies using experimental animals. High-fructose diets exacerbated copper deficiency in male rats, but not in pigs whose gastrointestinal system is anatomically and functionally more like humans. Also, very high levels of dietary fructose (20% of total calories) did not result in copper depletion in humans, suggesting that fructose intake does not result in copper depletion at levels relevant to normal diets (2, 24). However, high fructose consumption and low copper availability may be risk factors for functional copper deficiency in patients with non-alcoholic fatty liver disease (29).",2;24;29,3/3,"Turnlund JR. Copper. In: Shils ME, Shike M, Ross A, Caballero B, Cousins RA, eds. Modern Nutrition in Health and Disease. 10th ed. Baltimore: Lipincott Williams & Wilkins; 2006:289-299. | Food and Nutrition Board, Institute of Medicine. Copper. Dietary reference intakes for vitamin A, vitamin K, boron, chromium, copper, iodine, iron, manganese, molybdenum, nickel, silicon, vanadium, and zinc. Washington D.C.: National Academy Press; 2001:224-257. (National Academy Press) | Song M, Vos MB, McClain CJ. Copper-fructose interactions: A novel mechanism in the pathogenesis of NAFLD. Nutrients. 2018;10(11):1815. (PubMed)",https://www.ncbi.nlm.nih.gov/pubmed/30469339,https://lpi.oregonstate.edu/mic/minerals/copper,2026-08-10T04:48:07+00:00
copper,영양소-영양소,Vitamin C,Vitamin C,미량영양소,Nutrient interactions,Function > Nutrient interactions > Vitamin C,"Although vitamin C supplements have produced copper deficiency in guinea pigs (30), the effect of vitamin C supplementation on copper nutritional status in humans is less clear. Two small studies in healthy, young adult men indicated that ceruloplasmin oxidase activity may be impaired by relatively high doses of supplemental vitamin C. In one study, vitamin C intakes of 1,500 mg/day for two months resulted in a significant decline in CP oxidase activity (31). In the other study, supplements of 605 mg/day of vitamin C for three weeks resulted in decreased CP oxidase activity, although copper absorption did not decline (32). Neither of these studies found vitamin C supplementation to adversely affect copper nutritional status.",30;31;32,3/3,"Milne DB, Omaye ST. Effect of vitamin C on copper and iron metabolism in the guinea pig. Int J Vitam Nutr Res. 1980;50(3):301-308. (PubMed) | Finley EB, Cerklewski FL. Influence of ascorbic acid supplementation on copper status in young adult men. Am J Clin Nutr. 1983;37(4):553-556. (PubMed) | Jacob RA, Skala JH, Omaye ST, Turnlund JR. Effect of varying ascorbic acid intakes on copper absorption and ceruloplasmin levels of young men. J Nutr. 1987;117(12):2109-2115. (PubMed)",https://pubmed.ncbi.nlm.nih.gov/7429759/;https://pubmed.ncbi.nlm.nih.gov/6837490/;https://pubmed.ncbi.nlm.nih.gov/3694287/,https://lpi.oregonstate.edu/mic/minerals/copper,2026-08-10T04:48:07+00:00
copper,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"Relatively little is known about the interaction of copper with drugs. Penicillamine is used to bind copper and enhance its elimination in Wilson disease, a genetic disorder resulting in hepatic copper overload. Because penicillamine dramatically increases the urinary excretion of copper, individuals taking the medication for reasons other than copper overload may have an increased dietary copper requirement. Additionally, antacids may interfere with copper absorption when used in very high amounts (2). Also, the anti- tuberculosis drug ethambutol may chelate copper in mitochondria and reduce cytochrome c oxidase activity specifically in optic nerve axons, possibly contributing to optic neuropathy which is a documented side-effect of this drug (175).",2;175,2/2,"Turnlund JR. Copper. In: Shils ME, Shike M, Ross A, Caballero B, Cousins RA, eds. Modern Nutrition in Health and Disease. 10th ed. Baltimore: Lipincott Williams & Wilkins; 2006:289-299. | Kozak SF, Inderlied CB, Hsu HY, Heller KB, Sadun AA. The role of copper on ethambutol's antimicrobial action and implications for ethambutol-induced optic neuropathy. Diagn Microbiol Infect Dis. 1998;30(2):83-87. (PubMed)",https://www.ncbi.nlm.nih.gov/pubmed/9554173,https://lpi.oregonstate.edu/mic/minerals/copper,2026-08-10T04:48:07+00:00
fluoride,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"Calcium supplements, as well as calcium and aluminum-containing antacids, can decrease the absorption of fluoride. It is best to take these products two hours before or after fluoride supplements (99).",99,1/1,Minerals. Drug Facts and Comparisons. St. Louis: Facts and Comparisons; 2000:27-51.,,https://lpi.oregonstate.edu/mic/minerals/fluoride,2026-08-10T04:48:09+00:00
folate,영양소-영양소,Vitamin B12 and vitamin B6,Vitamin B12; Vitamin B6,미량영양소,Nutrient interactions,Function > Nutrient interactions > Vitamin B12 and vitamin B6,"The metabolism of homocysteine, an intermediate in the metabolism of sulfur-containing amino acids, provides an example of the interrelationships among nutrients necessary for optimal physiological function and health. Healthy individuals utilize two different pathways to metabolize homocysteine (Figure 3). One pathway (methionine synthase) synthesizes methionine from homocysteine and is dependent on both folate and vitamin B 12 as cofactors. The other pathway converts homocysteine to another amino acid, cysteine, and requires two vitamin B 6 -dependent enzymes. Thus, the concentration of homocysteine in the blood is regulated by three B-vitamins: folate, vitamin B 12, and vitamin B 6 (4). In some individuals, riboflavin (vitamin B 2) is also involved in the regulation of homocysteine concentrations (see the article on Riboflavin).",4,1/1,"Gerhard GT, Duell PB. Homocysteine and atherosclerosis. Curr Opin Lipidol. 1999;10(5):417-428. (PubMed)",https://pubmed.ncbi.nlm.nih.gov/10554704/,https://lpi.oregonstate.edu/mic/vitamins/folate,2026-08-10T04:48:12+00:00
folate,영양소-영양소,Riboflavin,Riboflavin,미량영양소,Nutrient interactions,Function > Nutrient interactions > Riboflavin,"Although less well recognized, folate has an important metabolic interaction with riboflavin. Riboflavin is a precursor of flavin adenine dinucleotide (FAD), a coenzyme required for the activity of the folate-metabolizing enzyme, 5,10-methylenetetrahydrofolate reductase (MTHFR). FAD-dependent MTHFR in turn catalyzes the reaction that generates 5-methyltetrahydrofolate (see Figure 2). This active form of folate is required to form methionine from homocysteine. Along with other B-vitamins, higher riboflavin intakes have been associated with decreased plasma homocysteine concentrations (5). The effects of riboflavin on folate metabolism appear to be greatest in individuals homozygous for the common c.677C>T polymorphism (i.e., TT genotype) in the MTHFR gene (see Genetic variation in folate requirements) (6). These individuals (up to 32% of the population) typically present with low folate status, along with elevated homocysteine concentrations, particularly when folate and/or riboflavin intake is suboptimal. The elevated homocysteine concentration in these individuals, however, is highly responsive to lowering with riboflavin supplementation. In addition, riboflavin supplementation has been shown to reduce blood pressure in hypertensive individuals homozygous for the MTHFR c.677C>T polymorphism (7, 8), confirming the importance of the riboflavin-MTHFR interaction (9, 10).",5;6;7;8;9;10,6/6,"Jacques PF, Bostom AG, Wilson PW, Rich S, Rosenberg IH, Selhub J. Determinants of plasma total homocysteine concentration in the Framingham Offspring cohort. Am J Clin Nutr. 2001;73(3):613-621. (PubMed) | Jacques PF, Kalmbach R, Bagley PJ, et al. The relationship between riboflavin and plasma total homocysteine in the Framingham Offspring cohort is influenced by folate status and the C677T transition in the methylenetetrahydrofolate reductase gene. J Nutr. 2002;132(2):283-288. (PubMed) | Wilson CP, McNulty H, Ward M, et al. Blood pressure in treated hypertensive individuals with the MTHFR 677TT genotype is responsive to intervention with riboflavin: findings of a targeted randomized trial. Hypertension. 2013;61(6):1302-1308. (PubMed) | Wilson CP, Ward M, McNulty H, et al. Riboflavin offers a targeted strategy for managing hypertension in patients with the MTHFR 677TT genotype: a 4-y follow-up. Am J Clin Nutr. 2012;95(3):766-772. (PubMed) | McNulty H, Dowey le RC, Strain JJ, et al. Riboflavin lowers homocysteine in individuals homozygous for the MTHFR 677C->T polymorphism. Circulation. 2006;113(1):74-80. (PubMed) | McNulty H, Ward M, Hoey L, Hughes CF, Pentieva K. Addressing optimal folate and related B-vitamin status through the lifecycle: health impacts and challenges. Proc Nutr Soc. 2019;78(3):449-462. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/11237940;http://www.ncbi.nlm.nih.gov/pubmed/11823591;https://www.ncbi.nlm.nih.gov/pubmed/23608654;https://www.ncbi.nlm.nih.gov/pubmed/22277556;http://www.ncbi.nlm.nih.gov/pubmed/16380544;https://www.ncbi.nlm.nih.gov/pubmed/31155015,https://lpi.oregonstate.edu/mic/vitamins/folate,2026-08-10T04:48:12+00:00
folate,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"When nonsteroidal anti- inflammatory drugs (NSAIDs), such as aspirin or ibuprofen, are taken in very large therapeutic dosages (i.e., to treat severe arthritis), they may interfere with folate metabolism. In contrast, routine use of NSAIDs has not been found to adversely affect folate status. The anticonvulsant, phenytoin, has been shown to inhibit the intestinal absorption of folate, and several studies have associated decreased folate status with long-term use of the anticonvulsants, phenytoin, phenobarbital, and primidone (214). However, few studies controlled for differences in dietary folate intake between anticonvulsant users and nonusers. Also, taking folic acid at the same time as the cholesterol -lowering agents, cholestyramine and colestipol, may decrease the absorption of folic acid (200). Methotrexate is a folic acid antagonist used to treat a number of diseases, including cancer, rheumatoid arthritis, and psoriasis. Some of the side effects of methotrexate are similar to those of severe folate deficiency, and supplementation with folic or folinic acid is used to reduce antifolate toxicity. Other antifolate molecules currently used in cancer therapy include aminopterin, pemetrexed, pralatrexate, and raltitrexed (11, 115). Further, a number of other medications have been shown to have antifolate activity, including trimethoprim (an antibiotic), pyrimethamine (an antimalarial), triamterene (a blood pressure medication), and sulfasalazine (a treatment for ulcerative colitis). Early studies of oral contraceptives (birth control pills) containing high doses of estrogen indicated adverse effects on folate status; however, this finding has not been supported in more recent studies that used low-dose oral contraceptives and controlled for dietary folate (215).",11;115;200;214;215,5/5,"Shulpekova Y, Nechaev V, Kardasheva S, et al. The concept of folic acid in health and disease. Molecules. 2021;26(12):3731. (PubMed) | Desmoulin SK, Wang L, Polin L, et al. Functional loss of the reduced folate carrier enhances the antitumor activities of novel antifolates with selective uptake by the proton-coupled folate transporter. Mol Pharmacol. 2012;82(4):591-600. (PubMed) | Folate. In: Hendler SS, Rorvik, D.R., ed. PDR for Nutritional Supplements. 2nd ed. Montvale: Physicians' Desk Reference Inc.; 2008. | Apeland T, Mansoor MA, Strandjord RE. Antiepileptic drugs as independent predictors of plasma total homocysteine levels. Epilepsy Res. 2001;47(1-2):27-35. (PubMed) | Wilson SM, Bivins BN, Russell KA, Bailey LB. Oral contraceptive use: impact on folate, vitamin B(6), and vitamin B(1)(2) status. Nutr Rev. 2011;69(10):572-583. (PubMed)",https://pubmed.ncbi.nlm.nih.gov/34207319/;http://www.ncbi.nlm.nih.gov/pubmed/22740639;https://pubmed.ncbi.nlm.nih.gov/11673018/;http://www.ncbi.nlm.nih.gov/pubmed/21967158,https://lpi.oregonstate.edu/mic/vitamins/folate,2026-08-10T04:48:12+00:00
iodine,영양소-영양소,Selenium,Selenium,미량영양소,Nutrient interactions,Deficiency > Nutrient interactions > Selenium,"While iodine is an essential component of thyroid hormones, the selenium -containing iodothyronine deiodinases (DIOs) are enzymes (or selenoenzymes) required for the conversion of T 4 to the biologically active thyroid hormone, T 3 (see the article on Selenium). DIO1 activity may also be involved in regulating iodine homeostasis (65). In addition, glutathione peroxidases are selenoenzymes that protect the thyroid gland from hydrogen peroxide-induced damage during thyroid hormone synthesis (66). A randomized, placebo -controlled study in 151 pregnant women at risk of developing autoimmune thyroid disease found that selenium supplementation (200 μg/day in the form of selenomethionine) at 12 weeks of gestation until 12 months' postpartum reduced the risk of thyroid dysfunction and permanent hypothyroidism (67). However, another trial (the Selenium in Pregnancy Intervention Trial) found no benefit of selenium supplementation (60 μg/day from 12-14 weeks of gestation to delivery) over placebo on circulating autoantibody concentrations in pregnant women mildly deficient in iodine (68). The current guidelines of the American Thyroid Association advise against routine selenium supplementation in pregnant women with thyroid autoimmunity (12). The epidemiology of coexisting iodine and selenium deficiencies in central Africa has been linked to the prevalence of myxedematous cretinism, a severe form of congenital hypothyroidism accompanied by physical retardation and intellectual impairment. Selenium deficiency may be one of several undetermined factors that might exacerbate the detrimental effects of iodine deficiency (64). Results of randomized controlled intervention trials have shown that correcting only the selenium deficiency may have a deleterious effect on thyroid hormone metabolism in school-age children with co-existing selenium and iodine deficiency (69, 70). Finally, selenium deficiency in rodents was found to have little impact on DIO activities as it appears that selenium is being supplied in priority for adequate synthesis of DIOs at the expense of other selenoenzymes (66).",12;64;65;66;67;68;69;70,8/8,"Alexander EK, Pearce EN, Brent GA, et al. 2017 guidelines of the American Thyroid Association for the diagnosis and management of thyroid diease during pregnancy and the postpartum. Thyroid. 2017;27(3):315-389. (PubMed) | Hess SY. The impact of common micronutrient deficiencies on iodine and thyroid metabolism: the evidence from human studies. Best Pract Res Clin Endocrinol Metab. 2010;24(1):117-132. (PubMed) | Schneider MJ, Fiering SN, Thai B, et al. Targeted disruption of the type 1 selenodeiodinase gene (Dio1) results in marked changes in thyroid hormone economy in mice. Endocrinology. 2006;147(1):580-589. (PubMed) | Schomburg L. Selenium, selenoproteins and the thyroid gland: interactions in health and disease. Nat Rev Endocrinol. 2012;8(3):160-171. (PubMed) | Negro R, Greco G, Mangieri T, Pezzarossa A, Dazzi D, Hassan H. The influence of selenium supplementation on postpartum thyroid status in pregnant women with thyroid peroxidase autoantibodies. J Clin Endocrinol Metab. 2007;92(4):1263-1268. (PubMed) | Mao J, Pop VJ, Bath SC, Vader HL, Redman CW, Rayman MP. Effect of low-dose selenium on thyroid autoimmunity and thyroid function in UK pregnant women with mild-to-moderate iodine deficiency. Eur J Nutr. 2016;55(1):55-61. (PubMed) | Contempre B, Duale NL, Dumont JE, Ngo B, Diplock AT, Vanderpas J. Effect of selenium supplementation on thyroid hormone metabolism in an iodine and selenium deficient population. Clin Endocrinol (Oxf). 1992;36(6):579-583. (PubMed) | Contempre B, Dumont JE, Ngo B, Thilly CH, Diplock AT, Vanderpas J. Effect of selenium supplementation in hypothyroid subjects of an iodine and selenium deficient area: the possible danger of indiscriminate supplementation of iodine-deficient subjects with selenium. J Clin Endocrinol Metab. 1991;73(1):213-215. (PubMed)",https://www.ncbi.nlm.nih.gov/pubmed/28056690;http://www.ncbi.nlm.nih.gov/pubmed/20172476;http://www.ncbi.nlm.nih.gov/pubmed/16223863;http://www.ncbi.nlm.nih.gov/pubmed/22009156;http://www.ncbi.nlm.nih.gov/pubmed/17284630;https://pubmed.ncbi.nlm.nih.gov/25524327/;http://www.ncbi.nlm.nih.gov/pubmed/1424183;http://www.ncbi.nlm.nih.gov/pubmed/2045471,https://lpi.oregonstate.edu/mic/minerals/iodine,2026-08-10T04:48:14+00:00
iodine,영양소-영양소,Iron,Iron,미량영양소,Nutrient interactions,Deficiency > Nutrient interactions > Iron,"Severe iron -deficiency anemia can impair thyroid metabolism in the following ways: (1) by altering the TSH response of the pituitary gland; (2) by reducing the activity of thyroid peroxidase that catalyzes the iodination of thyroglobulin for the production of thyroid hormones; and (3) in the liver by limiting the conversion of T 4 to T 3, increasing T 3 turnover, and decreasing T 3 binding to nuclear receptors (71). It is estimated that goiter and iron-deficiency anemia coexist in up to 25% of school-age children in west and north Africa (64). A randomized controlled study in iron-deficient children with goiter showed a greater reduction in thyroid size following the consumption of iodized salt together with 60 mg/day of iron four times per week compared to placebo (72). Additional interventions have confirmed that correcting iron-deficiency anemia improved the efficacy of iodine supplementation to mitigate thyroid disorders (reviewed in 64, 71).",64;71;72,3/3,"Hess SY. The impact of common micronutrient deficiencies on iodine and thyroid metabolism: the evidence from human studies. Best Pract Res Clin Endocrinol Metab. 2010;24(1):117-132. (PubMed) | Zimmermann MB. The influence of iron status on iodine utilization and thyroid function. Annu Rev Nutr. 2006;26:367-389. (PubMed) | Hess SY, Zimmermann MB, Adou P, Torresani T, Hurrell RF. Treatment of iron deficiency in goitrous children improves the efficacy of iodized salt in Cote d'Ivoire. Am J Clin Nutr. 2002;75(4):743-748. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/20172476;http://www.ncbi.nlm.nih.gov/pubmed/16602928;http://www.ncbi.nlm.nih.gov/pubmed/11916762,https://lpi.oregonstate.edu/mic/minerals/iodine,2026-08-10T04:48:14+00:00
iodine,영양소-영양소,Vitamin A,Vitamin A,미량영양소,Nutrient interactions,Deficiency > Nutrient interactions > Vitamin A,"In north and west Africa, vitamin A deficiency and iodine deficiency-induced goiter may coexist in up to 50% of children. Vitamin A status, like other nutritional factors, appears to influence the response to iodine prophylaxis in iodine-deficient populations (73). Vitamin A deficiency in animal models was found to interfere with the pituitary - thyroid axis by (1) increasing the synthesis and secretion of thyroid-stimulating hormone (TSH) by the pituitary gland, (2) increasing the size of the thyroid gland, (3) reducing iodine uptake by the thyroid gland and impairing the synthesis and iodination of thyroglobulin, and (4) increasing circulating concentrations of thyroid hormones (reviewed in 74). A cross-sectional study of 138 children with concurrent vitamin A and iodine deficiencies found that the severity of vitamin A deficiency was associated with higher risk of goiter and higher concentrations of circulating TSH and thyroid hormones (73). These children received iodine-enriched salt together with vitamin A (200,000 IU at baseline and at 5 months) or a placebo in a randomized, double-blind, 10-month trial. Vitamin A supplementation significantly decreased TSH concentration and thyroid volume compared to placebo (73). In another trial, vitamin A supplementation alone (without iodine) to iodine-deficient children reduced the volume of the thyroid gland, as well as TSH and thyroglobulin concentrations (75). Yet, supplemental vitamin A had no additional effect on thyroid function/hormone metabolism when children were also given iodized oil.",73;74;75,3/3,"Zimmermann MB, Wegmuller R, Zeder C, Chaouki N, Torresani T. The effects of vitamin A deficiency and vitamin A supplementation on thyroid function in goitrous children. J Clin Endocrinol Metab. 2004;89(11):5441-5447. (PubMed) | Zimmermann MB. Interactions of vitamin A and iodine deficiencies: effects on the pituitary-thyroid axis. Int J Vitam Nutr Res. 2007;77(3):236-240. (PubMed) | Zimmermann MB, Jooste PL, Mabapa NS, et al. Vitamin A supplementation in iodine-deficient African children decreases thyrotropin stimulation of the thyroid and reduces the goiter rate. Am J Clin Nutr. 2007;86(4):1040-1044. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/15531495;http://www.ncbi.nlm.nih.gov/pubmed/18214025;http://www.ncbi.nlm.nih.gov/pubmed/17921382,https://lpi.oregonstate.edu/mic/minerals/iodine,2026-08-10T04:48:14+00:00
iodine,영양소-약물,,,,Safety 아래,Safety > Drug interactions,"Amiodarone, a medication used to prevent abnormal heart rhythms, contains high levels of iodine and may affect thyroid function (124). Antithyroid drugs used to treat hyperthyroidism, such as propylthiouracil (PTU), methimazole, and carbimazole, may increase the risk of hypothyroidism. Additionally, the long-term use of lithium to treat mood disorders may increase the risk of hypothyroidism (125). Further, the use of pharmacologic doses of potassium iodide may decrease the anticoagulant effect of warfarin (coumarin) (126).",124;125;126,3/3,"Ahmed S, Van Gelder IC, Wiesfeld AC, Van Veldhuisen DJ, Links TP. Determinants and outcome of amiodarone-associated thyroid dysfunction. Clin Endocrinol (Oxf). 2011;75(3):388-394. (PubMed) | McKnight RF, Adida M, Budge K, Stockton S, Goodwin GM, Geddes JR. Lithium toxicity profile: a systematic review and meta-analysis. Lancet. 2012;379(9817):721-728. (PubMed) | Kurnik D, Loebstein R, Farfel Z, Ezra D, Halkin H, Olchovsky D. Complex drug-drug-disease interactions between amiodarone, warfarin, and the thyroid gland. Medicine (Baltimore). 2004;83(2):107-113. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/21535072;http://www.ncbi.nlm.nih.gov/pubmed/22265699;http://www.ncbi.nlm.nih.gov/pubmed/15028964,https://lpi.oregonstate.edu/mic/minerals/iodine,2026-08-10T04:48:14+00:00
iron,영양소-영양소,Vitamin A,Vitamin A,미량영양소,Nutrient Interactions,Nutrient Interactions > Vitamin A,"Vitamin A deficiency often coexists with iron deficiency and may exacerbate iron-deficiency anemia by altering iron metabolism (15). Vitamin A supplementation has been shown to have beneficial effects on iron-deficiency anemia and improve iron nutritional status among children and pregnant women (15, 16). The combination of vitamin A and iron seems to reduce anemia more effectively than either supplemental iron or vitamin A alone (17). Vitamin A may facilitate the mobilization of iron from storage sites to developing red blood cells for incorporation into hemoglobin (15, 16). Moreover, studies in rats have shown that iron deficiency alters plasma and liver levels of vitamin A (18, 19).",15;16;17;18;19,5/5,"Semba RD, Bloem MW. The anemia of vitamin A deficiency: epidemiology and pathogenesis. Eur J Clin Nutr. 2002;56(4):271-281. (PubMed) | Allen LH. Iron supplements: scientific issues concerning efficacy and implications for research and programs. J Nutr. 2002;132(4 Suppl):813S-819S. (PubMed) | Suharno D, West CE, Muhilal, Karyadi D, Hautvast JG. Supplementation with vitamin A and iron for nutritional anaemia in pregnant women in West Java, Indonesia. Lancet. 1993;342(8883):1325-1328. (PubMed) | Jang JT, Green JB, Beard JL, Green MH. Kinetic analysis shows that iron deficiency decreases liver vitamin A mobilization in rats. J Nutr. 2000;130(5):1291-1296. (PubMed) | Rosales FJ, Jang JT, Pinero DJ, Erikson KM, Beard JL, Ross AC. Iron deficiency in young rats alters the distribution of vitamin A between plasma and liver and between hepatic retinol and retinyl esters. J Nutr. 1999;129(6):1223-1228. (PubMed)",http://www.ncbi.nlm.nih.gov/pubmed/11965502;http://www.ncbi.nlm.nih.gov/pubmed/11925487;http://www.ncbi.nlm.nih.gov/pubmed/7901636;http://www.ncbi.nlm.nih.gov/pubmed/10801932;http://www.ncbi.nlm.nih.gov/pubmed/10356091,https://lpi.oregonstate.edu/mic/minerals/iron,2026-08-10T04:48:17+00:00
